t,L,Fin,Fout,Eps,S,Lsp,Cv,track,
692.,6.1956844247068,25.,9.2675951013986,-2.9315578243587e-003,0.50523768702565,6.225,2.7950267069274e-002,11.195684421756,
696.,6.2019078606087,25.,9.6244504263265,-2.3092139443157e-003,0.53013144222737,6.225,2.9018448749153e-002,11.201907860557,
700.,6.2079789098844,25.,10.0270805815,-1.7021090401996e-003,0.55441563839201,6.225,3.022421961617e-002,11.207978909598,
704.,6.2138802878081,25.,10.472068696079,-1.1119712501293e-003,0.57802114999483,6.225,3.1557221628056e-002,11.213880287499,
708.,6.2195962776302,25.,10.955976742428,-5.4037224916727e-004,0.60088511003331,6.225,3.3007052206926e-002,11.219596277508,
712.,6.2251110589293,25.,11.475617241083,1.1105886685674e-005,0.62294423546743,6.225,3.4564078507369e-002,11.225111058867,
716.,6.2304115485406,25.,12.027517746282,5.4115477290983e-004,0.64414619091639,6.225,3.6217830062869e-002,11.230411547729,
720.,6.2354852357913,25.,12.608338637157,1.0485235511502e-003,0.66444094204601,6.225,3.795825178256e-002,11.235485235512,
724.,6.2403207064955,25.,13.214753887193,1.5320706267408e-003,0.68378282506963,6.225,3.9775345222006e-002,11.240320706267,
728.,6.2449096157076,25.,13.843307396444,1.9909615505924e-003,0.7021384620237,6.225,4.1658737539754e-002,11.244909615506,
732.,6.2492442084232,25.,14.490698125399,2.4244208410078e-003,0.71947683364031,6.225,4.3598534204241e-002,11.24924420841,
736.,6.253315883924,25.,15.153796172189,2.8315883921992e-003,0.73576353568797,6.225,4.5585365494196e-002,11.253315883922,
740.,6.2571195476907,25.,15.829369422239,3.2119547660716e-003,0.75097819064286,6.225,4.7609566702612e-002,11.257119547661,
744.,6.2606508936473,25.,16.514296955835,3.565089361639e-003,0.76510357446556,6.225,4.9661815539053e-002,11.260650893616,
748.,6.2639073933298,25.,17.205535557692,3.8907393329764e-003,0.77812957331906,6.225,5.1733030017658e-002,11.26390739333,
752.,6.2668860131352,25.,17.90016194339,4.1886013134003e-003,0.79004405253601,6.225,5.3814494013812e-002,11.266886013134,
756.,6.2695861035698,25.,18.595317832821,4.4586103596853e-003,0.80084441438741,6.225,5.5897690464438e-002,11.269586103597,
760.,6.2720097777619,25.,19.288287356988,4.7009777847291e-003,0.81053911138917,6.225,5.7974530286352e-002,11.272009777847,
764.,6.2741568797533,25.,19.976444910997,4.9156879767765e-003,0.81912751907106,6.225,6.0037198422855e-002,11.274156879768,
768.,6.2760299970297,25.,20.657290036964,5.1029997127367e-003,0.82661998850947,6.225,6.2078253591598e-002,11.276029997127,
772.,6.2776326531477,25.,21.328451407347,5.2632653147687e-003,0.83303061259075,6.225,6.4090639912028e-002,11.277632653148,
776.,6.278968590933,25.,21.987654745019,5.3968591084861e-003,0.83837436433944,6.225,6.6067590663171e-002,11.278968591085,
780.,6.2800440113851,25.,22.632840171305,5.5044011436602e-003,0.84267604574641,6.225,6.8002975219652e-002,11.280044011437,
784.,6.2808648389252,25.,23.262041769669,5.5864838925392e-003,0.84595935570157,6.225,6.9890941264964e-002,11.280864838925,
788.,6.2814370364455,25.,23.873373028597,5.6437036456853e-003,0.84824814582741,6.225,7.1725870551696e-002,11.281437036457,
792.,6.2817670256447,25.,24.46503713719,5.6767026326829e-003,0.84956810530732,6.225,7.3502408558357e-002,11.281767026327,
796.,6.2818677774538,25.,25.035932018204,5.6867777454608e-003,0.84997110981843,6.225,7.4116378e-002,11.281867777455,
800.,6.2817419776658,25.,25.584089571436,5.6741978202742e-003,0.84946791281097,6.225,7.4116378e-002,11.281741978203,
