t,Ws,Wz,
27.5,9.3096508816692,9.3096508816692,
27.6,9.3099266106773,9.3099266106773,
27.7,9.3108028561869,9.3108028561869,
27.8,9.3117979405129,9.3117979405129,
27.9,9.3125019130839,9.3125019130839,
28.,9.3127057445496,9.3127057445496,
28.1,9.3124293329138,9.3124293329138,
28.2,9.311861564264,9.311861564264,
28.3,9.3112539624715,9.3112539624715,
28.4,9.310816463779,9.310816463779,
28.5,9.310651955693,9.310651955693,
28.6,9.3107440006789,9.3107440006789,
28.7,9.3109899085325,9.3109899085325,
28.8,9.3112569645956,9.3112569645956,
28.9,9.3114364656166,9.3114364656166,
29.,9.3114768142138,9.3114768142138,
29.1,9.3113886867784,9.3113886867784,
29.2,9.3112268419469,9.3112268419469,
29.3,9.3110604105299,9.3110604105299,
29.4,9.3109448937185,9.3109448937185,
29.5,9.3109054521342,9.3109054521342,
29.6,9.3109348466403,9.3109348466403,
29.7,9.3110034008238,9.3110034008238,
29.8,9.3110746760677,9.3110746760677,
29.9,9.3111199631433,9.3111199631433,
30.,9.311126698727,9.311126698727,
30.1,9.3110992022748,9.3110992022748,
30.2,9.311053232911,9.311053232911,
30.3,9.3110077234691,9.3110077234691,
30.4,9.3109772839818,9.3109772839818,
30.5,9.3109679683414,9.3109679683414,
30.6,9.3109770630198,9.3109770630198,
30.7,9.3109960497236,9.3109960497236,
30.8,9.3110149578297,9.3110149578297,
30.9,9.3110262368576,9.3110262368576,
31.,9.3110268793858,9.3110268793858,
31.1,9.3110184395191,9.3110184395191,
31.2,9.311005423196,9.311005423196,
31.3,9.310992997363,9.310992997363,
31.4,9.3109849903455,9.3109849903455,
31.5,9.3109828288543,9.3109828288543,
31.6,9.3109855752543,9.3109855752543,
31.7,9.3109907992118,9.3109907992118,
31.8,9.3109957816177,9.3109957816177,
31.9,9.3109985455602,9.3109985455602,
32.,9.3109983867042,9.3109983867042,
32.1,9.3109958289739,9.3109958289739,
32.2,9.3109921531866,9.3109921531866,
32.3,9.3109887645416,9.3109887645416,
32.4,9.3109866612476,9.3109866612476,
32.5,9.3109861703468,9.3109861703468,
32.6,9.3109869834956,9.3109869834956,
32.7,9.3109884110845,9.3109884110845,
32.8,9.3109897140323,9.3109897140323,
32.9,9.3109903772051,9.3109903772051,
33.,9.3109902404358,9.3109902404358,
33.1,9.310989473136,9.310989473136,
33.2,9.3109884374304,9.3109884374304,
33.3,9.3109875141458,9.3109875141458,
33.4,9.3109869621624,9.3109869621624,
33.5,9.3109868535656,9.3109868535656,
