t,c,w,R,Rate_c,Rate_w,
22.,1.,-1.1766667937439e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4781363729577e+029,
22.1,1.,-1.1767868869362e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4781063496596e+029,
22.2,1.,-1.1769040150171e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4780770676394e+029,
22.3,1.,-1.1770182511953e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4780485085949e+029,
22.4,1.,-1.1771296668722e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4780206546756e+029,
22.5,1.,-1.1772383316863e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4779934884721e+029,
22.6,1.,-1.1773443135566e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4779669930045e+029,
22.7,1.,-1.1774476787252e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4779411517124e+029,
22.8,1.,-1.1775484917986e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477915948444e+029,
22.9,1.,-1.1776468157884e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4778913674466e+029,
23.,1.,-1.1777427121503e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4778673933561e+029,
23.1,1.,-1.1778362408225e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4778440111881e+029,
23.2,1.,-1.1779274602636e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4778212063278e+029,
23.3,1.,-1.1780164274887e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4777989645215e+029,
23.4,1.,-1.1781031981051e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4777772718674e+029,
23.5,1.,-1.1781878263474e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4777561148068e+029,
23.6,1.,-1.178270365111e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4777354801159e+029,
23.7,1.,-1.1783508659852e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4777153548974e+029,
23.8,1.,-1.1784293792858e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4776957265722e+029,
23.9,1.,-1.178505954086e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4776765828722e+029,
24.,1.,-1.1785806382477e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4776579118318e+029,
24.1,1.,-1.1786534784509e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477639701781e+029,
24.2,1.,-1.1787245202231e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4776219413379e+029,
24.3,1.,-1.1787938079676e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4776046194018e+029,
24.4,1.,-1.1788613849917e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4775877251458e+029,
24.5,1.,-1.178927293533e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4775712480104e+029,
24.6,1.,-1.1789915747867e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477555177697e+029,
24.7,1.,-1.1790542689306e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477539504161e+029,
24.8,1.,-1.1791154151506e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477524217606e+029,
