t,XA0,XB0,XC0,XD0,XE0,XA8,XB8,XC8,XD8,XE8,
50.,0.81296610671907,0.17170069901287,8.7831676689194e-003,3.7231682725091e-005,6.5127202171204e-003,0.16837940929728,0.19441997837276,0.19973281484394,0.19999888766975,0.23746890909486,
51.,0.8126676644619,0.17256180716622,8.8442559192144e-003,3.750771309648e-005,5.8886971970784e-003,0.16760492533194,0.1942559642938,0.19972441673379,0.19999885206213,0.23841584092454,
52.,0.81232442502215,0.17340889963767,8.904371028443e-003,3.7779042094949e-005,5.3244641983033e-003,0.16683000904291,0.1940909793434,0.199715952825,0.19999881615957,0.23936424203652,
53.,0.81194025123981,0.17424372939197,8.9636253180028e-003,3.8046169268982e-005,4.8142926607795e-003,0.16605470049227,0.19392503419897,0.1997074238667,0.19999877996576,0.24031406093907,
54.,0.81151860741416,0.17506790647937,9.0221237458171e-003,3.8309563856672e-005,4.3530028672409e-003,0.16527903635975,0.1937581379627,0.1996988305064,0.19999874348392,0.24126525120012,
55.,0.8110626002012,0.1758829092859,9.0799643386625e-003,3.8569666348439e-005,3.9359113620597e-003,0.16450305029096,0.19359029828678,0.19969017329643,0.19999870671687,0.2422177709672,
56.,0.81057501521727,0.17669009505248,9.137238612601e-003,3.8826890032748e-005,3.5587834072053e-003,0.1637267732104,0.19342152148882,0.1996814527,0.19999866966701,0.24317158253306,
57.,0.81005834980995,0.17749070968565,9.1940319796813e-003,3.9081622514269e-005,3.21778999281e-003,0.16295023360265,0.19325181265805,0.19967266909692,0.19999863233636,0.24412665194246,
58.,0.80951484240704,0.17828589688706,9.2504241395395e-003,3.9334227196001e-005,2.9094689660721e-003,0.16217345776518,0.19308117575298,0.19966382278892,0.19999859472661,0.24508294863636,
59.,0.80894649880909,0.17907670663167,9.3064894549281e-003,3.9585044718678e-005,2.6306898840097e-003,0.16139647003571,0.19290961369108,0.19965491400468,0.19999855683909,0.24604044512991,
60.,0.80835511575085,0.17986410302648,9.3622973105328e-003,3.9834394352341e-005,2.378622233357e-003,0.16061929299672,0.192737128431,0.1996459429045,0.19999851867484,0.24699911672096,
61.,0.80774230202182,0.18064897158279,9.4179124547203e-003,4.0082575336282e-005,2.1507066950584e-003,0.15984194765943,0.19256372104797,0.19963690958462,0.19999848023458,0.24795894122634,
