t,YA1,YA2,YA3,YA4,YA5,YA6,YA7,YA8,
69.,0.7947129295011,0.74474395448232,0.68968747056004,0.62987922436685,0.56557451446053,0.49655515970781,0.42108942219773,0.33197909056634,
70.,0.79383083402859,0.74371517091684,0.68853065912487,0.62862585590878,0.56426927770463,0.49525583905042,0.41986626761164,0.33091160011279,
71.,0.79294116899512,0.74267824688759,0.68736548308799,0.62736431413971,0.56295649512666,0.49395000042699,0.41863794212229,0.32984059663841,
72.,0.79204381816837,0.74163305201353,0.68619180752475,0.6260944704255,0.56163605523608,0.49263755923145,0.41740439628604,0.32876607594057,
73.,0.79113866662888,0.74057945859885,0.6850095013494,0.6248162007251,0.56030785129167,0.49131843497554,0.41616558318199,0.32768803344126,
74.,0.79022560043676,0.73951734119287,0.68381843680082,0.62352938504683,0.55897178078572,0.48999255086961,0.41492145817119,0.3266064642383,
75.,0.78930450633817,0.73844657620003,0.68261848898513,0.62223390696405,0.55762774498379,0.48865983344838,0.41367197868152,0.32552136315215,
76.,0.78837527150632,0.73736704153358,0.68140953546864,0.62092965318328,0.55627564851409,0.48732021223672,0.41241710401579,0.32443272476858,
77.,0.78743778331254,0.73627861630801,0.68019145591522,0.61961651315923,0.55491539900099,0.48597361945134,0.41115679518055,0.32334054347777,
78.,0.78649192912346,0.73518118056529,0.67896413176323,0.61829437875124,0.553546906738,0.48461998973445,0.40989101473334,0.32224481351014,
79.,0.78553759612086,0.73407461503104,0.67772744593731,0.61696314391695,0.55217008439595,0.48325925991614,0.40861972664672,0.32114552896923,
80.,0.78457467114129,0.73295880089696,0.67648128259124,0.61562270443884,0.55078484676267,0.48189136880243,0.40734289618713,0.32004268386203,
81.,0.78360304053294,0.73183361962661,0.67522552687831,0.61427295768029,0.54939111051077,0.48051625698634,0.40606048980715,0.31893627212692,
82.,0.78262259002749,0.73069895278153,0.67396006474624,0.6129138023679,0.5479887939907,0.47913386667966,0.40477247504991,0.31782628765946,
83.,0.7816332046251,0.72955468186569,0.67268478275393,0.61154513839738,0.54657781704637,0.47774414156325,0.40347882046418,0.31671272433645,
84.,0.78063476849074,0.72840068818584,0.67139956790762,0.61016686666042,0.5451581008511,0.47634702665395,0.40217949552935,0.31559557603816,
85.,0.77962716486069,0.72723685272616,0.67010430751445,0.60877888889047,0.54372956776172,0.47494246818659,0.40087447058913,0.31447483666911,
86.,0.77861027595765,0.72606305603561,0.6687988890515,0.60738110752539,0.54229214118907,0.47353041350942,0.39956371679317,0.31335050017757,
87.,0.77758398291359,0.72487917812636,0.66748320004879,0.60597342558537,0.54084574548328,0.47211081099176,0.39824720604582,0.31222256057379,
88.,0.77654816569936,0.7236850983824,0.66615712798465,0.6045557465644,0.53939030583225,0.47068360994257,0.39692491096139,0.31109101194716,
89.,0.77550270306016,0.72248069547697,0.66482056019232,0.60312797433418,0.53792574817218,0.469248760539,0.39559680482523,0.30995584848254,
90.,0.77444747245628,0.72126584729794,0.66347338377659,0.60169001305908,0.53645199910896,0.46780621376386,0.39426286156007,0.30881706447561,
91.,0.77338235000841,0.72004043088045,0.6621154855395,0.60024176712114,0.53496898584922,0.46635592135121,0.39292305569717,0.30767465434761,
92.,0.77230721044705,0.71880432234587,0.66074675191423,0.59878314105418,0.53347663614046,0.46489783573932,0.39157736235185,0.30652861265933,
93.,0.77122192706549,0.71755739684652,0.65936706890642,0.59731403948615,0.53197487821906,0.46343191003031,0.39022575720292,0.3053789341246,
94.,0.77012637167601,0.71629952851568,0.65797632204212,0.59583436708898,0.53046364076577,0.46195809795587,0.38886821647573,0.30422561362326,
95.,0.76902041456901,0.7150305904222,0.65657439632199,0.59434402853528,0.52894285286777,0.46047635384852,0.38750471692854,0.3030686462137,
96.,0.76790392447453,0.7137504545295,0.65516117618096,0.59284292846124,0.52741244398693,0.45898663261788,0.38613523584179,0.30190802714502,
97.,0.76677676852629,0.71245899165835,0.65373654545301,0.59133097143532,0.52587234393358,0.45748888973158,0.38475975101021,0.30074375186892,
98.,0.76563881222761,0.71115607145332,0.65230038734071,0.58980806193209,0.52432248284548,0.45598308120045,0.3833782407374,0.29957581605122,
99.,0.76448991941936,0.70984156235241,0.65085258438897,0.58827410431102,0.5227627911714,0.45446916356752,0.38199068383267,0.2984042155833,
100.,0.76332995224954,0.70851533155975,0.64939301846287,0.58672900279962,0.52119319965917,0.4529470939006,0.38059705961011,0.2972289465932,
101.,0.76215877114449,0.7071772450211,0.64792157072911,0.58517266148089,0.51961363934768,0.45141682978822,0.37919734788953,0.29605000545675,
102.,0.76097623478157,0.70582716740195,0.646438121641,0.58360498428442,0.51802404156263,0.44987832933857,0.37779152899925,0.29486738880841,
103.,0.75978220006316,0.70446496206805,0.64494255092665,0.58202587498132,0.51642433791574,0.44833155118127,0.37637958378058,0.29368109355216,
104.,0.758576522092,0.70309049106826,0.64343473758019,0.58043523718236,0.51481446030728,0.44677645447183,0.37496149359384,0.29249111687232,
105.,0.7573590541477,0.70170361511959,0.64191455985592,0.57883297433943,0.51319434093158,0.44521299889847,0.37353724032588,0.29129745624425,
106.,0.75612964766445,0.70030419359431,0.64038189526518,0.57721898974993,0.5115639122854,0.44364114469136,0.3721068063989,0.29010010944516,
107.,0.75488815220982,0.6988920845091,0.63883662057587,0.5755931865641,0.50992310717909,0.44206085263394,0.37067017478066,0.28889907456493,
108.,0.7536344154647,0.69746714451611,0.63727861181444,0.57395546779509,0.50827185875025,0.44047208407632,0.36922732899581,0.28769435001685,
109.,0.75236828320428,0.69602922889589,0.63570774427038,0.57230573633162,0.50661010047989,0.43887480095062,0.36777825313837,0.28648593454859,
110.,0.75108959928008,0.69457819155221,0.63412389250306,0.5706438949532,0.5049377662109,0.43726896578813,0.36632293188536,0.28527382725312,
111.,0.74979820560309,0.69311388500866,0.63252693035087,0.56896984634789,0.50325479016881,0.4356545417382,0.3648613505114,0.28405802757976,
112.,0.74849394212796,0.69163616040705,0.63091673094265,0.56728349313235,0.50156110698471,0.43403149258888,0.36339349490431,0.28283853534535,
113.,0.74717664683823,0.69014486750766,0.62929316671135,0.56558473787425,0.49985665172027,0.43239978278908,0.36191935158168,0.28161535074552,
114.,0.74584615573269,0.68863985469119,0.6276561094099,0.56387348311708,0.4981413598948,0.43075937747233,0.3604389077083,0.28038847436609,
115.,0.74450230281291,0.68712096896258,0.6260054301293,0.56214963140707,0.49641516751436,0.42911024248207,0.35895215111451,0.27915790719464,
116.,0.74314492007187,0.68558805595663,0.62434099931894,0.56041308532247,0.49467801110274,0.4274523443983,0.35745907031536,0.27792365063218,
117.,0.74177383748377,0.68404095994546,0.62266268680905,0.55866374750501,0.49292982773443,0.42578565056575,0.35595965453063,0.27668570650504,
118.,0.74038888299515,0.6824795238479,0.62097036183546,0.55690152069355,0.49117055506948,0.42411012912338,0.35445389370561,0.27544407707688,
119.,0.73898988251725,0.68090358924066,0.61926389306652,0.55512630775996,0.48940013139018,0.42242574903521,0.35294177853266,0.27419876506094,
120.,0.73757665991968,0.67931299637164,0.61754314863238,0.55333801174724,0.48761849563966,0.42073248012257,0.35142330047357,0.27294977363243,
121.,0.73614903702558,0.6777075841751,0.61580799615649,0.5515365359098,0.4858255874623,0.41903029309754,0.34989845178261,0.2716971064411,
122.,0.73470683360818,0.67608719028898,0.61405830278944,0.54972178375602,0.48402134724595,0.41731915959779,0.34836722553036,0.27044076762409,
123.,0.73324986738885,0.67445165107433,0.61229393524524,0.54789365909305,0.48220571616605,0.4155990522226,0.3468296156282,0.26918076181892,
124.,0.73177795403684,0.67280080163688,0.61051475983993,0.54605206607384,0.48037863623154,0.41386994457022,0.34528561685358,0.2679170941767,
125.,0.73029090717067,0.67113447585095,0.60872064253277,0.54419690924656,0.47854005033259,0.41213181127646,0.34373522487593,0.26664977037561,
