t,XA0,XA1,XA2,XA3,XA4,XA5,XA6,XA7,XA8,
115.,0.75679980865589,0.68015308041505,0.61292598769845,0.54268460910399,0.47037669882201,0.39634128128649,0.31916738078217,0.23139371247032,0.11796720268982,
116.,0.75556399588506,0.67859045730804,0.61121869500659,0.54089798961047,0.46858940796876,0.39464117459388,0.31764857310265,0.23015961145115,0.11719911454246,
117.,0.75431595292879,0.67701345591218,0.60949735546213,0.53909852222769,0.46679121048005,0.3929326155945,0.31612401995587,0.22892267712771,0.11643150817575,
118.,0.75305553162594,0.67542191825425,0.60776184004057,0.53728611478447,0.46498205259799,0.39121558405728,0.31459372509773,0.22768292680614,0.11566439709368,
119.,0.75178258144335,0.67381568512194,0.60601201933038,0.53546067549317,0.46316188148641,0.38949006089595,0.31305769334314,0.22644037852425,0.11489779499372,
120.,0.75049694950763,0.67219459607522,0.60424776356204,0.53362211298838,0.46133064527005,0.38775602820125,0.31151593058734,0.22519505106209,0.11413171576992,
121.,0.74919848063332,0.6705584894603,0.60246894263984,0.53177033636848,0.45948829307622,0.38601346927499,0.30996844382857,0.22394696395291,0.11336617351618,
122.,0.74788701734797,0.66890720242614,0.60067542617664,0.52990525523989,0.4576347750788,0.38426236866582,0.30841524119165,0.22269613749476,0.11260118252937,
123.,0.74656239991461,0.66724057094353,0.59886708353152,0.52802677976411,0.45577004254442,0.38250271220662,0.30685633195278,0.22144259276257,0.11183675731249,
124.,0.74522446635197,0.66555842982686,0.59704378385021,0.52613482070752,0.45389404788099,0.38073448705354,0.30529172656523,0.22018635162066,0.11107291257782,
125.,0.74387305245283,0.66386061275859,0.59520539610859,0.52422928949376,0.45200674468839,0.37895768172664,0.30372143668607,0.21892743673572,0.11030966325011,
